gene,degree,module
LUM,49,0
FAP,48,0
POSTN,45,0
PRRX1,45,0
SFRP2,45,0
THBS2,44,0
COL11A1,43,0
ADAM12,42,0
INHBA,42,0
NTM,41,0
ASPN,41,0
ALPK2,40,0
LRRC15,40,0
OMD,40,0
ITGBL1,40,0
MMP11,39,0
EPYC,38,0
SVEP1,38,0
COL10A1,38,0
GJB2,36,0
GREM1,35,0
IGFL2,35,0
CCL11,34,0
DIO2,34,0
SFRP4,34,0
SLC35D3,33,0
DPT,33,0
NKX3-2,32,0
C5orf46,32,0
SCG2,31,0
MEGF10,30,0
CXCL14,29,0
MMP13,29,0
COL6A6,26,0
PLN,26,0
COLEC11,26,2
STAR,24,2
SULF1,24,0
ACTG2,23,0
ARX,23,2
PTGER3,22,0
C3orf72,22,2
FOXL2,22,2
PTPN5,21,2
MEOX2,21,0
GATA4,20,2
PEG3,20,2
IL21R,20,1
CXCL9,20,1
DLK1,19,2
C7,19,2
GZMK,18,1
FMO1,17,0
IRF4,17,1
TCF21,17,2
PLA2G2D,17,1
AMHR2,16,2
CXCL13,16,1
TSPAN8,16,2
EDN3,15,2
IGJ,15,1
CD79A,15,1
GRP,15,0
MGC29506,15,1
CADPS,15,2
GFRA1,15,0
ADAM6,15,1
FCRL5,15,1
BMS1P20,15,1
CASR,14,2
PROK1,13,2
MS4A1,13,1
SCUBE1,13,2
CCL19,13,1
NR5A1,13,2
ATRNL1,12,2
COMP,12,0
SEMA3D,12,0
FABP4,12,4
ZNF683,11,1
THSD7B,9,2
ADAMDEC1,9,1
POU2AF1,8,1
CXCL11,8,1
PLCXD3,8,2
KIAA0125,8,1
BCHE,7,0
FAM150B,7,2
UBD,7,1
CPA3,7,5
NNMT,7,3
COL2A1,6,2
MMP9,5,1
CXCR2P1,5,1
TPSB2,5,5
HLA-DQA1,5,1
CCL21,4,4
PTPRD,4,0
CD1A,4,1
CD1E,4,1
ABCA8,3,2
DHRS2,3,2
IDO1,3,1
LCN2,3,3
OGN,3,2
ADH1B,3,4
SERPINB7,3,0
LOC400696,3,1
TPSAB1,3,5
BARX1,3,0
HLA-DQB2,3,1
CCL13,2,1
SAA2,2,3
SAA1,2,3
CCL18,2,1
DPYSL5,2,2
HLA-DQA2,2,1
CNTN1,1,0
TUBB2B,1,2
PDZK1IP1,1,3
KCNIP1,1,2
HLA-DRB5,1,1
MMP12,1,1
CALB2,1,0
VNN3,1,3
PITX2,1,0
CD207,1,1
ADIPOQ,1,4
CHRNA1,1,0
GNLY,1,1
HLA-DRB6,1,1
FMO2,1,3
