gene_a,gene_b,correlation,weight
CCL21,FABP4,0.6514392663536015,0.6514392663536015
CCL21,ADH1B,0.641098688512997,0.641098688512997
CCL21,SFRP4,0.6166337000551486,0.6166337000551486
CCL21,PLN,0.6191773844809995,0.6191773844809995
ATRNL1,DLK1,0.6513940374326082,0.6513940374326082
ATRNL1,C7,0.6266631881493833,0.6266631881493833
ATRNL1,GATA4,0.6443823771757954,0.6443823771757954
ATRNL1,COLEC11,0.6694810459433105,0.6694810459433105
ATRNL1,ARX,0.6391999341382852,0.6391999341382852
ATRNL1,STAR,0.609687507567965,0.609687507567965
ATRNL1,C3orf72,0.647277481563677,0.647277481563677
ATRNL1,FOXL2,0.6607135829934729,0.6607135829934729
ATRNL1,PEG3,0.6020026146226034,0.6020026146226034
ATRNL1,TCF21,0.660587851393429,0.660587851393429
ATRNL1,THSD7B,0.6317766730099758,0.6317766730099758
ATRNL1,PTPN5,0.630630628090627,0.630630628090627
COL11A1,SFRP2,0.8321172457471749,0.8321172457471749
COL11A1,EPYC,0.8123015128943323,0.8123015128943323
COL11A1,MMP13,0.7430119272166194,0.7430119272166194
COL11A1,POSTN,0.8639700441116013,0.8639700441116013
COL11A1,LRRC15,0.866386070956344,0.866386070956344
COL11A1,NTM,0.8711488490160427,0.8711488490160427
COL11A1,GREM1,0.7895321000968453,0.7895321000968453
COL11A1,CCL11,0.690592024226194,0.690592024226194
COL11A1,CXCL14,0.7102563361815132,0.7102563361815132
COL11A1,FAP,0.8683740930454783,0.8683740930454783
COL11A1,IGFL2,0.6987371124439223,0.6987371124439223
COL11A1,GFRA1,0.6330033147050325,0.6330033147050325
COL11A1,COL10A1,0.7987510972344137,0.7987510972344137
COL11A1,COL6A6,0.7287433491420531,0.7287433491420531
COL11A1,DIO2,0.7401538862227584,0.7401538862227584
COL11A1,ITGBL1,0.8201913803315408,0.8201913803315408
COL11A1,BCHE,0.60182607449319,0.60182607449319
COL11A1,MEGF10,0.7694669784949462,0.7694669784949462
COL11A1,DPT,0.7409552341852619,0.7409552341852619
COL11A1,OMD,0.7518352343178673,0.7518352343178673
COL11A1,MMP11,0.823292572505541,0.823292572505541
COL11A1,SFRP4,0.6503992266580739,0.6503992266580739
COL11A1,SEMA3D,0.6859981622001837,0.6859981622001837
COL11A1,ASPN,0.8032835046094658,0.8032835046094658
COL11A1,ALPK2,0.8303537628588995,0.8303537628588995
COL11A1,LUM,0.8748763875154169,0.8748763875154169
COL11A1,INHBA,0.8876485294281048,0.8876485294281048
COL11A1,MEOX2,0.6602204605751986,0.6602204605751986
COL11A1,PTGER3,0.6218775764175157,0.6218775764175157
COL11A1,GJB2,0.7524856942854921,0.7524856942854921
COL11A1,SVEP1,0.7418389093212147,0.7418389093212147
COL11A1,GRP,0.6518835729618326,0.6518835729618326
COL11A1,NKX3-2,0.7432727645057084,0.7432727645057084
COL11A1,PTPRD,0.6220211335681508,0.6220211335681508
COL11A1,PRRX1,0.8134739274880832,0.8134739274880832
COL11A1,C5orf46,0.7613009876635014,0.7613009876635014
COL11A1,SULF1,0.6745066056289515,0.6745066056289515
COL11A1,ACTG2,0.6884409826775854,0.6884409826775854
COL11A1,PLN,0.6172704661426673,0.6172704661426673
COL11A1,SCG2,0.7436700407782308,0.7436700407782308
COL11A1,SLC35D3,0.7626080657974086,0.7626080657974086
COL11A1,THBS2,0.8878894209935666,0.8878894209935666
COL11A1,ADAM12,0.8733883709818998,0.8733883709818998
PLN,SFRP2,0.6037895223671108,0.6037895223671108
PLN,EPYC,0.635311506327724,0.635311506327724
PLN,FABP4,0.6079613697171713,0.6079613697171713
PLN,POSTN,0.6266831040695334,0.6266831040695334
PLN,LRRC15,0.6147008577672695,0.6147008577672695
PLN,COMP,0.6890721521427786,0.6890721521427786
PLN,NTM,0.6059962261211699,0.6059962261211699
PLN,CCL11,0.6476783290129379,0.6476783290129379
PLN,FAP,0.700939741570394,0.700939741570394
PLN,IGFL2,0.6403058486891717,0.6403058486891717
PLN,COL10A1,0.6905399722413383,0.6905399722413383
PLN,ITGBL1,0.7061145281826691,0.7061145281826691
PLN,DPT,0.6000563359359598,0.6000563359359598
PLN,OMD,0.6900358214404868,0.6900358214404868
PLN,SFRP4,0.7656028485371433,0.7656028485371433
PLN,ASPN,0.7121969561649241,0.7121969561649241
PLN,LUM,0.683893391172431,0.683893391172431
PLN,INHBA,0.7111635072815895,0.7111635072815895
PLN,SVEP1,0.6008007942653443,0.6008007942653443
PLN,CPA3,0.6041449640754847,0.6041449640754847
PLN,PRRX1,0.6427883240108839,0.6427883240108839
PLN,C5orf46,0.664046547823163,0.664046547823163
PLN,ACTG2,0.7577355757095177,0.7577355757095177
PLN,THBS2,0.7495089621620945,0.7495089621620945
BCHE,SFRP2,0.6353136178796857,0.6353136178796857
BCHE,POSTN,0.6110635423250711,0.6110635423250711
BCHE,ASPN,0.6061777020051958,0.6061777020051958
BCHE,LUM,0.6113495877776391,0.6113495877776391
